id,rank,position,age,games,minutes played,true shooting percentage,block percentage
Caleb Swanigan,467,PF,20,27,189,0.449,1.3
Jayson Tatum,468,SF,19,80,2438,0.586,2.0
Isaiah Taylor,469,PG,23,67,1167,0.49200000000000005,0.7
Jeff Teague,470,PG,29,70,2311,0.5529999999999999,0.8
Marquis Teague,471,PG,24,3,74,0.302,0.0
Mirza Teletovic,472,PF,32,10,159,0.623,0.5
Garrett Temple,473,SG,31,65,1615,0.536,1.6
Milos Teodosic,474,PG,30,45,1134,0.564,0.4
Jason Terry,475,SG,40,51,814,0.525,1.4
Daniel Theis,476,C,25,63,936,0.616,4.3
Isaiah Thomas,477,PG,28,32,862,0.508,0.3
